File Name,Result,Input Path,Indexless Input Path,Unmappable CDM Path Count,Unmappable CDM Paths,Reason For Failure
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex10-long-us-corp-fixreg.xml,Fail_MappedMultiple,trade.creditDefaultSwap.protectionTerms.creditEvents.restructuring.restructuringType,trade.creditDefaultSwap.protectionTerms.creditEvents.restructuring.restructuringType,5,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.restructuring.restructuringType.value=[ModR] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.restructuring.restructuringType.value=[ModR] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.restructuring.restructuringType.value=[ModR] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.protectionTerms(0).creditEvents.restructuring.restructuringType.value=[ModR] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.restructuring.restructuringType.value=[ModR],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex10-long-us-corp-fixreg.xml,Fail_MappedNone,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.bond.maturity,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.bond.maturity,0,,Element with value 2017-02-01 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex10-long-us-corp-fixreg.xml,Fail_MappedMultiple,trade.creditDefaultSwap.protectionTerms.creditEvents.creditEventNotice.publiclyAvailableInformation.specifiedNumber,trade.creditDefaultSwap.protectionTerms.creditEvents.creditEventNotice.publiclyAvailableInformation.specifiedNumber,5,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.creditEventNotice.publiclyAvailableInformation.specifiedNumber=[2] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.creditEventNotice.publiclyAvailableInformation.specifiedNumber=[2] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.protectionTerms(0).creditEvents.creditEventNotice.publiclyAvailableInformation.specifiedNumber=[2] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.creditEventNotice.publiclyAvailableInformation.specifiedNumber=[2] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.creditEventNotice.publiclyAvailableInformation.specifiedNumber=[2],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex10-long-us-corp-fixreg.xml,Fail_MappedMultiple,trade.creditDefaultSwap.protectionTerms.creditEvents.creditEventNotice.publiclyAvailableInformation.standardPublicSources,trade.creditDefaultSwap.protectionTerms.creditEvents.creditEventNotice.publiclyAvailableInformation.standardPublicSources,5,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.creditEventNotice.publiclyAvailableInformation.standardPublicSources=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.protectionTerms(0).creditEvents.creditEventNotice.publiclyAvailableInformation.standardPublicSources=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.creditEventNotice.publiclyAvailableInformation.standardPublicSources=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.creditEventNotice.publiclyAvailableInformation.standardPublicSources=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.creditEventNotice.publiclyAvailableInformation.standardPublicSources=[true],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex10-long-us-corp-fixreg.xml,Fail_MappedMultiple,party(1)[id=party2].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,party[id=party2].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,2,TradeState.trade.party(1).partyId(0).identifierType=[LEI] TradeState.trade.party(1).partyId(0).identifier.meta.scheme=[http://www.fpml.org/coding-scheme/external/iso17442],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex10-long-us-corp-fixreg.xml,Fail_MappedMultiple,trade.creditDefaultSwap.protectionTerms.creditEvents.restructuring.applicable,trade.creditDefaultSwap.protectionTerms.creditEvents.restructuring.applicable,5,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.protectionTerms(0).creditEvents.restructuring.applicable=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.restructuring.applicable=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.restructuring.applicable=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.restructuring.applicable=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.restructuring.applicable=[true],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex10-long-us-corp-fixreg.xml,Fail_MappedMultiple,trade.creditDefaultSwap.protectionTerms.creditEvents.bankruptcy,trade.creditDefaultSwap.protectionTerms.creditEvents.bankruptcy,5,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.bankruptcy=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.bankruptcy=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.bankruptcy=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.protectionTerms(0).creditEvents.bankruptcy=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.bankruptcy=[true],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex10-long-us-corp-fixreg.xml,Fail_MappedNone,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.bond.couponRate,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.bond.couponRate,0,,Element with value 0.077 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex11-2003-short-us-corp-fixreg.xml,Fail_MappedMultiple,party(1)[id=party2].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,party[id=party2].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,2,TradeState.trade.party(1).partyId(0).identifierType=[LEI] TradeState.trade.party(1).partyId(0).identifier.meta.scheme=[http://www.fpml.org/coding-scheme/external/iso17442],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex11-2003-short-us-corp-fixreg.xml,Fail_MappedMultiple,party(0)[id=party1].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,party[id=party1].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,2,TradeState.trade.party(0).partyId(0).identifierType=[LEI] TradeState.trade.party(0).partyId(0).identifier.meta.scheme=[http://www.fpml.org/coding-scheme/external/iso17442],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex11-2003-short-us-corp-fixreg.xml,Fail_MappedMultiple,trade.creditDefaultSwap.protectionTerms.creditEvents.restructuring.applicable,trade.creditDefaultSwap.protectionTerms.creditEvents.restructuring.applicable,5,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.protectionTerms(0).creditEvents.restructuring.applicable=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.restructuring.applicable=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.restructuring.applicable=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.restructuring.applicable=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.restructuring.applicable=[true],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex11-2003-short-us-corp-fixreg.xml,Fail_MappedNone,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.bond.maturity,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.bond.maturity,0,,Element with value 2011-12-01 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex11-2003-short-us-corp-fixreg.xml,Fail_MappedNone,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.bond.couponRate,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.bond.couponRate,0,,Element with value 0.06 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex11-short-us-corp-fixreg.xml,Fail_MappedMultiple,party(1)[id=party2].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,party[id=party2].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,2,TradeState.trade.party(1).partyId(0).identifierType=[LEI] TradeState.trade.party(1).partyId(0).identifier.meta.scheme=[http://www.fpml.org/coding-scheme/external/iso17442],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex11-short-us-corp-fixreg.xml,Fail_MappedMultiple,party(0)[id=party1].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,party[id=party1].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,2,TradeState.trade.party(0).partyId(0).identifierType=[LEI] TradeState.trade.party(0).partyId(0).identifier.meta.scheme=[http://www.fpml.org/coding-scheme/external/iso17442],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex11-short-us-corp-fixreg.xml,Fail_MappedMultiple,trade.creditDefaultSwap.protectionTerms.creditEvents.restructuring.restructuringType,trade.creditDefaultSwap.protectionTerms.creditEvents.restructuring.restructuringType,5,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.restructuring.restructuringType.value=[ModR] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.restructuring.restructuringType.value=[ModR] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.restructuring.restructuringType.value=[ModR] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.protectionTerms(0).creditEvents.restructuring.restructuringType.value=[ModR] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.restructuring.restructuringType.value=[ModR],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex11-short-us-corp-fixreg.xml,Fail_MappedMultiple,trade.creditDefaultSwap.protectionTerms.creditEvents.restructuring.applicable,trade.creditDefaultSwap.protectionTerms.creditEvents.restructuring.applicable,5,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.protectionTerms(0).creditEvents.restructuring.applicable=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.restructuring.applicable=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.restructuring.applicable=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.interestRatePayout(0).priceQuantity.quantityCumulation(1).cumulationDatesKnockOutPivotPrice.creditEvents.restructuring.applicable=[true] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.priceQuantity.quantityCumulation(0).cumulationDatesKnockInPrice.creditEvents.restructuring.applicable=[true],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-13/products/credit-derivatives/cd-ex11-short-us-corp-fixreg.xml,Fail_MappedNone,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.bond.maturity,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.bond.maturity,0,,Element with value 2011-12-01 could not be mapped to a rosettaField
